Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1847,61480,136,307.4,14354.4,34,180,1
2237,72605,241,519.0,16483.0,46,222,0
2237,75904,218,235.4,18713.8,48,209,1
2131,66302,67,490.2,16336.4,24,292,0
2131,72522,69,328.4,18879.8,30,222,1
1752,61057,102,436.4,13761.4,34,167,1
1752,52740,69,507.4,12956.4,15,144,0
1689,57439,100,377.4,13361.8,29,166,1
1689,50896,80,399.0,11510.0,21,150,0
1428,50815,114,575.8,11810.8,29,98,1
1428,41371,92,183.8,9156.4,16,92,0
1835,63580,113,412.2,14580.6,40,141,0
1835,68883,130,536.6,15964.8,40,152,1
2040,73166,104,351.6,14964.4,38,196,0
2040,72751,131,478.2,16890.6,52,223,1
1722,48736,171,431.4,11618.6,19,189,0
1722,55949,210,254.8,13203.8,26,129,1
1692,57552,110,449.4,13393.2,31,140,1
1692,53853,101,329.4,11501.8,24,133,0
1358,52254,78,434.6,10927.2,37,104,1
1358,42220,86,348.4,8687.0,14,124,0
1575,50120,82,589.6,11871.8,20,164,0
1575,54456,56,210.8,13277.4,26,172,1
1941,58296,146,559.4,12946.8,34,248,0
1941,59927,144,338.0,13361.4,23,184,1
1294,36432,68,322.6,7814.2,15,83,0
1294,49359,110,348.2,9906.4,33,99,1
1168,33917,53,309.6,7638.8,12,75,0
1168,40092,52,298.8,8941.2,20,96,1
2224,74901,96,307.4,17327.4,29,282,1
2224,67573,132,277.6,16145.2,28,256,0
1355,52288,89,456.6,11710.6,27,109,1
1355,33186,83,330.2,8125.4,7,59,0
1598,47524,85,409.4,11225.0,17,139,0
1598,56882,29,238.0,13368.6,27,123,1
1316,37869,86,417.2,9049.2,11,124,0
1316,47903,71,285.8,11520.4,20,86,1
1380,40681,77,341.2,8616.4,16,108,0
1380,53117,131,373.0,11847.2,42,101,1
1401,50496,85,362.8,11354.0,26,134,1
1401,42226,45,394.6,8908.2,12,93,0
1681,58101,106,346.2,13538.4,34,128,1
1681,50749,79,240.8,11583.0,27,121,0
1354,53350,64,404.4,11905.0,37,106,1
1354,42258,98,426.2,9946.8,20,97,0
935,32616,24,297.4,6848.6,14,77,1
935,22779,52,293.2,5452.8,4,61,0
1482,53219,101,342.6,11930.8,29,184,1
1482,39816,82,379.8,9329.6,13,91,0
1546,44481,111,237.0,10039.6,18,120,0
1546,55573,129,314.8,12301.0,24,122,1
1619,52786,155,434.0,11471.0,28,128,0
1619,62625,107,439.4,13871.0,48,156,1
972,32490,47,337.8,7039.6,17,75,1
972,25077,43,576.8,5889.4,6,56,0
1362,37978,86,411.4,9068.0,13,97,0
1362,50676,65,554.4,11390.2,18,93,1
1405,51796,64,418.8,11826.0,28,104,1
1405,38552,55,354.0,9059.6,10,104,0
917,21554,46,380.4,5185.4,4,56,0
917,33759,53,287.4,6938.2,16,45,1
974,31762,49,343.6,7172.6,15,66,1
974,24653,30,515.6,5832.4,4,70,0
1443,50105,140,434.2,11178.8,27,111,1
1443,45357,89,317.8,9319.6,19,101,0
1281,35642,52,355.0,7998.0,13,83,0
1281,50778,64,321.2,10322.2,27,116,1
1742,50001,124,611.8,11203.0,18,160,0
1742,59474,126,396.0,13315.0,28,151,1
1723,52214,115,404.4,12278.8,20,181,0
1723,64036,116,254.6,14956.4,35,183,1
1527,60809,78,280.8,12765.8,37,142,1
1527,52100,86,550.0,11188.4,19,134,0
1381,46403,82,370.4,10811.2,28,128,1
1381,44851,62,194.0,9356.8,23,132,0
1748,49582,98,330.4,11682.0,20,179,0
1748,64249,58,447.6,14698.0,26,189,1
1772,59635,122,573.2,14033.2,30,185,0
1772,69357,123,431.2,15444.8,36,203,1
1842,68024,127,367.2,14399.8,43,206,1
1842,57265,128,431.8,13308.6,29,146,0
1565,44237,104,403.0,9412.2,19,137,0
1565,53996,95,315.2,11565.4,35,116,1
1378,47434,51,455.8,11173.0,20,123,1
1378,39454,56,316.6,9601.4,12,100,0
1799,52373,143,437.6,12133.0,22,158,0
1799,63741,139,403.2,14121.6,35,140,1
1865,58044,120,291.2,12936.8,28,191,0
1865,65940,139,231.4,16130.4,44,160,1
1694,52887,106,494.6,12390.2,20,169,0
1694,59574,56,251.0,13516.2,29,142,1
1837,59608,152,521.2,14379.8,27,179,0
1837,62892,81,255.8,14820.4,21,162,1
1672,56890,116,467.6,14240.2,22,163,1
1672,48238,76,217.8,11898.4,16,154,0
1783,54371,72,418.4,13958.0,19,157,0
1783,61699,87,288.4,13887.6,22,198,1
1236,34915,61,271.0,7797.2,16,111,0
1236,47146,82,531.0,9453.0,26,94,1
1759,63379,89,344.8,15100.2,33,171,1
1759,53187,77,354.4,11458.0,21,157,0
1843,62175,104,137.0,14414.8,28,181,0
1843,61754,143,421.2,14362.2,26,194,1
1226,34138,54,388.8,7708.6,10,80,0
1226,44333,151,240.0,10523.0,32,125,1
2189,80041,97,422.8,18647.2,49,310,1
2189,72516,67,299.8,16722.6,35,217,0
1802,61799,74,295.8,15750.6,32,164,1
1802,50473,59,368.2,12636.0,19,142,0
960,25707,53,420.8,6112.4,8,50,0
960,33851,54,441.4,6912.4,18,89,1
1740,60609,92,314.4,13900.0,33,210,1
1740,58362,145,220.8,13535.4,31,158,0
1580,47709,62,299.2,11029.4,16,139,0
1580,59006,52,327.0,13252.4,26,159,1
1213,35036,37,457.6,7291.4,13,84,0
1213,41370,38,340.0,8749.2,20,121,1
1153,29104,41,439.0,6745.0,7,80,0
1153,45722,67,403.8,9031.8,28,102,1
1623,52252,49,332.6,12031.8,23,134,0
1623,58950,72,302.6,13982.6,34,149,1
1543,42979,150,460.0,10442.6,18,112,0
1543,60175,136,453.8,13316.2,43,162,1
1776,59980,138,280.8,11596.2,31,175,0
1776,62844,121,284.6,14524.2,37,154,1
1251,47417,96,315.6,10059.8,33,103,1
1251,34598,30,399.0,7988.2,13,64,0
1484,48461,81,370.8,10755.6,26,129,0
1484,54712,67,367.6,13465.0,29,156,1
1574,47252,75,322.8,10732.8,15,176,0
1574,55392,48,363.8,13201.0,20,176,1
1709,50021,139,204.4,11845.8,22,140,0
1709,59102,75,322.8,13386.2,27,162,1
1969,69677,89,633.4,15656.6,42,226,0
1969,70660,79,203.4,16426.0,35,171,1
2343,77279,150,540.6,17521.0,49,251,0
2343,82298,114,344.6,19025.8,43,257,1
2054,71786,125,285.0,17285.8,32,203,1
2054,66912,311,461.0,15455.8,33,183,0
2080,73070,170,351.4,17810.4,35,195,1
2080,68200,83,380.8,16185.2,26,181,0
922,22108,20,369.2,5617.8,2,45,0
922,29616,14,193.8,6710.2,12,58,1
1596,47440,106,255.2,10752.4,17,202,0
1596,56330,79,297.2,13430.6,31,169,1
912,22591,31,278.0,5537.4,3,70,0
912,28932,32,346.4,6161.6,11,56,1
2145,71270,167,456.4,15473.8,41,220,0
2145,76208,135,450.8,17061.0,44,216,1
1547,48633,67,382.2,10316.4,22,133,0
1547,56591,127,323.6,12828.2,30,126,1
1540,51549,65,191.8,12170.8,30,130,1
1540,36752,50,183.0,8855.0,5,108,0
1750,53047,80,424.6,12718.2,21,188,0
1750,62525,136,313.6,14567.8,30,187,1
1788,58962,148,137.6,14385.6,32,163,0
1788,62522,87,242.6,14611.2,32,134,1
1713,49062,88,272.4,11498.8,16,128,0
1713,60894,110,290.0,14376.0,35,160,1
1596,49571,70,248.0,11305.0,19,141,0
1596,58404,88,436.4,13584.2,34,175,1
1546,46589,93,364.6,10376.2,15,127,0
1546,55203,94,410.8,11855.2,30,134,1
1263,39344,56,195.6,9775.2,18,100,1
1263,34819,57,426.8,8229.0,13,82,0
