Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1216,39091,56,311.4,8967.2,20,85,1
1216,35287,64,269.8,8565.4,10,91,0
1391,55991,68,337.2,11661.6,42,93,1
1391,45161,57,356.8,9740.6,18,96,0
2585,83910,260,140.6,20549.0,51,232,0
2585,90984,215,453.0,21559.8,52,213,1
1926,67502,103,211.0,16446.6,36,217,1
1926,60902,70,333.2,14703.2,27,169,0
1425,44698,77,311.4,9282.4,22,85,0
1425,54847,77,372.8,12131.6,37,121,1
1854,68503,157,365.0,14936.0,38,160,1
1854,55676,137,276.4,12554.4,35,123,0
1322,43990,67,422.8,8879.0,17,90,0
1322,51225,70,206.8,10462.2,44,100,1
1889,53496,138,502.0,12604.0,23,173,0
1889,65415,125,438.2,15639.0,42,164,1
1857,60952,102,466.2,13621.2,36,202,0
1857,64052,59,288.4,14801.2,31,201,1
1104,36482,71,364.0,7587.6,18,77,1
1104,31033,28,257.2,7270.6,9,62,0
1054,34501,92,282.2,7266.2,14,60,1
1054,25209,34,503.8,6360.8,3,78,0
2359,83434,110,371.4,20201.6,41,243,0
2359,82166,158,457.6,19452.2,47,231,1
1246,36459,54,323.0,7841.8,18,75,0
1246,48423,93,497.4,9888.4,34,70,1
1432,49635,83,337.6,11501.0,26,102,1
1432,45405,74,321.2,9595.2,23,142,0
1296,37025,55,436.2,8044.6,12,104,0
1296,47172,48,323.2,9850.2,31,122,1
1404,52296,90,347.0,11810.4,30,118,1
1404,37465,73,322.6,8734.6,10,99,0
991,23967,38,324.4,5493.4,7,47,0
991,37738,43,566.6,7598.2,16,56,1
1509,57931,76,557.2,13476.2,37,154,1
1509,40725,59,572.8,9818.2,10,97,0
1557,45277,109,481.6,9972.4,11,102,0
1557,57920,102,366.8,13204.0,36,98,1
961,34924,66,339.0,7070.8,22,62,1
961,27165,28,340.6,6126.2,5,73,0
1465,43181,106,473.2,10224.6,18,86,0
1465,67909,74,427.2,13400.2,48,140,1
1465,58344,111,232.6,12524.8,43,152,1
1465,45102,52,574.4,10104.4,19,117,0
1357,41705,115,340.0,10474.8,18,160,1
1357,35385,48,373.4,8620.4,5,86,0
1401,42882,82,239.6,9151.8,17,114,0
1401,51895,81,405.2,12170.2,38,124,1
1051,43792,49,294.6,8276.4,29,67,1
1051,26415,53,281.4,5580.6,10,39,0
1659,58422,120,346.6,13287.6,32,134,1
1659,47679,95,465.2,10686.0,16,120,0
1797,65200,74,492.6,14923.6,36,140,1
1797,55397,59,230.2,13384.0,19,142,0
1976,60902,63,429.8,14248.6,26,173,0
1976,70375,116,588.0,17336.2,34,207,1
1876,56987,44,327.6,14167.6,20,121,0
1876,63349,108,333.4,15287.6,21,192,1
1698,43866,113,509.0,10694.2,11,160,0
1698,58572,85,401.4,13412.8,29,181,1
1511,53744,61,469.2,11747.6,24,131,1
1511,51435,90,262.8,11711.0,22,133,0
1559,58673,112,399.4,12966.8,36,131,1
1559,50504,89,279.2,11196.8,19,153,0
1974,69485,122,268.6,16728.4,36,188,1
1974,57792,104,426.0,13871.6,19,164,0
1541,58650,90,482.2,13552.8,31,151,1
1541,47764,66,347.0,11229.8,13,111,0
1255,42780,45,253.2,9414.2,25,82,1
1255,36473,60,365.8,8178.6,13,79,0
942,34956,61,348.2,7129.8,20,61,1
942,28210,64,169.4,6108.0,13,50,0
1345,49184,47,341.6,11193.0,24,102,1
1345,42960,54,363.0,9163.4,15,96,0
2053,73251,163,322.8,17042.0,52,193,1
2053,74529,119,174.0,16403.6,43,188,0
1356,41342,31,287.8,8916.6,14,106,0
1356,51080,53,371.2,11157.6,31,102,1
1430,42649,87,397.0,9323.8,21,95,0
1430,55985,52,358.8,12422.0,31,108,1
1354,47990,124,376.0,10904.6,33,118,1
1354,36871,78,540.6,8746.6,17,88,0
1554,58680,90,468.6,12999.8,38,163,1
1554,47054,94,433.4,10552.4,18,143,0
1333,37198,64,421.0,9121.8,13,88,0
1333,49397,48,355.4,10969.4,26,106,1
1739,63757,123,420.2,14037.2,39,175,1
1739,57134,131,261.0,11817.6,29,179,0
1654,59326,79,200.4,12228.0,38,165,1
1654,49120,64,406.4,10288.4,18,132,0
1376,51382,78,358.8,11152.8,34,114,1
1376,44698,117,408.0,9963.8,22,100,0
1836,56008,115,271.4,13284.2,25,146,0
1836,64973,146,418.0,16769.4,39,159,1
1415,51373,90,461.0,12165.0,31,133,1
1415,40123,71,466.2,8756.4,12,89,0
1417,47809,69,180.6,10268.2,27,102,1
1417,38903,82,239.2,9007.2,8,90,0
1966,72864,181,426.6,17685.0,43,241,1
1966,63022,141,249.8,15179.0,33,187,0
1658,57572,119,245.4,13502.0,34,130,1
1658,51162,84,401.8,11068.4,24,145,0
2348,74437,124,213.4,17693.0,41,247,0
2348,77863,88,441.0,18565.0,35,244,1
1980,62938,104,366.0,14939.8,26,200,0
1980,73762,77,351.0,17251.2,34,253,1
1544,47794,112,410.6,9792.0,21,146,0
1544,53783,136,433.0,11722.6,23,157,1
1825,58753,293,391.2,14796.6,30,136,0
1825,61989,122,167.4,14130.0,31,193,1
965,31968,37,265.8,7377.6,20,74,1
965,24129,55,402.8,5934.0,7,43,0
2010,79184,126,329.2,19739.2,59,134,1
2010,64462,209,235.2,16478.8,37,162,0
1746,66445,63,329.0,14990.0,41,117,1
1746,58117,99,356.4,13285.2,34,116,0
1774,64036,138,339.4,13767.6,34,141,1
1774,62202,176,175.6,14025.2,44,152,0
1149,29953,66,237.4,6532.6,11,68,0
1149,44329,65,320.0,8453.8,25,101,1
1722,50878,96,528.4,12590.2,22,166,0
1722,61979,112,354.8,14621.8,30,173,1
977,27875,65,395.2,6373.8,8,60,0
977,31842,60,297.6,6860.4,19,68,1
1936,76092,156,301.8,17120.8,44,225,1
1936,63901,388,493.4,14660.0,39,197,0
1804,55364,108,250.0,12588.6,20,168,0
1804,58760,115,399.8,13446.6,22,168,1
1691,62145,41,314.2,14867.2,40,174,1
1691,57185,77,325.0,13368.2,25,138,0
1568,45226,99,358.0,10961.8,19,107,0
1568,60378,94,217.0,13531.2,36,183,1
1310,36944,77,276.6,8961.4,15,83,0
1310,54399,65,436.6,12009.2,37,95,1
2119,68851,139,602.2,16818.4,35,244,1
2119,69352,127,393.4,16025.2,37,200,0
1725,65564,55,431.0,15059.8,33,207,1
1725,52753,111,332.0,11872.8,21,151,0
1287,36215,67,481.4,8071.8,13,62,0
1287,51962,64,245.8,10479.2,31,112,1
1161,28134,57,460.8,6751.8,8,60,0
1161,45221,55,479.6,9198.6,24,86,1
1607,51195,75,329.4,11704.2,17,153,0
1607,57940,94,315.4,14136.6,34,157,1
1516,49427,63,284.0,11430.8,22,111,1
