Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1875,60991,87,335.4,14547.0,29,183,1
2062,68819,183,239.4,15100.8,35,164,0
2062,75851,147,355.8,18231.2,48,193,1
1150,31110,33,365.8,7768.0,12,57,0
1150,41106,43,195.6,8087.6,13,93,1
967,23149,37,318.2,5655.6,5,32,0
967,37145,46,305.4,7164.4,19,58,1
1429,40670,115,427.2,10060.6,17,119,0
1429,53743,95,421.2,12281.2,23,115,1
1989,69296,87,500.4,18025.8,33,182,1
1989,67541,105,275.0,15755.8,28,200,0
1319,53164,110,337.2,11485.4,44,100,1
1319,37851,77,415.8,8778.4,15,95,0
1398,53288,212,214.4,11830.4,30,130,1
1398,39250,101,375.6,9071.6,13,80,0
2197,76640,150,102.8,20223.4,46,163,0
2197,69938,143,350.6,15433.0,20,183,1
2410,79759,154,310.0,20362.8,47,273,1
2410,74565,110,289.2,17765.0,22,237,0
1902,62759,140,414.4,15386.4,33,140,0
1902,69705,153,515.2,16113.6,42,172,1
1318,40365,71,229.6,8676.0,20,83,0
1318,54104,48,431.8,11670.4,28,116,1
1850,59461,119,407.8,12979.6,29,192,0
1850,62304,130,269.0,14369.4,33,130,1
1105,40047,53,396.8,8495.6,24,72,1
1105,34190,81,228.8,6767.0,16,68,0
1447,40278,74,398.2,9250.6,13,104,0
1447,48338,95,461.2,10302.6,24,146,1
1338,36190,49,245.6,8193.8,11,81,0
1338,46499,61,451.8,10717.6,27,126,1
1749,63017,97,282.2,13740.8,42,177,1
1749,55965,98,224.0,11921.6,28,166,0
1427,49220,66,374.2,10508.0,26,148,1
1427,38882,77,428.0,8969.0,13,108,0
1356,31489,54,259.4,8175.8,2,71,0
1356,49728,46,382.6,11367.8,18,114,1
1626,47742,264,384.6,10600.8,22,111,0
1626,60767,75,273.0,12981.4,34,146,1
990,33839,24,336.4,6858.4,18,80,1
990,24328,35,384.8,6249.2,7,59,0
2014,73958,110,351.4,15910.4,47,192,0
2014,73312,108,252.8,17157.0,44,192,1
2385,82406,121,318.0,18334.6,43,295,0
2385,86317,141,391.4,20097.8,53,273,1
1792,71478,120,418.6,16828.6,52,181,1
1792,60055,101,318.6,13737.6,32,115,0
1834,55817,67,203.4,12591.8,22,161,0
1834,66526,63,421.0,15382.4,32,156,1
1458,53094,80,380.4,11378.2,32,119,1
1458,43558,109,374.2,9016.8,19,108,0
2045,67835,93,115.0,15325.2,42,168,0
2045,76137,81,277.0,17510.6,40,187,1
2073,68017,130,368.4,14772.4,31,185,0
2073,74851,108,337.4,16426.8,47,206,1
2011,62452,143,383.0,14709.8,27,171,0
2011,66474,165,396.2,15507.6,29,208,1
1633,49933,76,357.0,10779.6,23,178,0
1633,52181,72,242.2,13193.2,27,147,1
